Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
1000,104,0.104,100,0.1,4,0.004,0,0
1000,109,0.109,105,0.105,4,0.004,0,0
1000,109,0.109,103,0.103,6,0.006,0,0
1000,109,0.109,105,0.105,4,0.004,0,0
1000,112,0.112,105,0.105,7,0.007,0,0
1000,104,0.104,101,0.101,3,0.003,0,0
1000,110,0.11,106,0.106,4,0.004,0,0
1000,110,0.11,106,0.106,4,0.004,0,0
1000,104,0.104,100,0.1,4,0.004,0,0
1000,104,0.104,101,0.101,3,0.003,0,0
1000,108,0.108,104,0.104,4,0.004,0,0
1000,103,0.103,101,0.101,2,0.002,0,0
1000,107,0.107,104,0.104,3,0.003,0,0
1000,108,0.108,103,0.103,5,0.005,0,0
1000,107,0.107,104,0.104,3,0.003,0,0
1000,104,0.104,101,0.101,3,0.003,0,0
1000,99,0.099,94,0.094,5,0.005,0,0
1000,104,0.104,101,0.101,3,0.003,0,0
1000,109,0.109,105,0.105,4,0.004,0,0
1000,112,0.112,108,0.108,4,0.004,0,0
1000,108,0.108,104,0.104,4,0.004,0,0
1000,112,0.112,106,0.106,6,0.006,0,0
1000,110,0.11,107,0.107,3,0.003,0,0
1000,109,0.109,103,0.103,6,0.006,0,0
1000,107,0.107,101,0.101,6,0.006,0,0
1000,110,0.11,105,0.105,5,0.005,0,0
1000,108,0.108,104,0.104,4,0.004,0,0
1000,105,0.105,99,0.099,6,0.006,0,0
1000,101,0.101,96,0.096,5,0.005,0,0
1000,115,0.115,106,0.106,9,0.009,0,0
