Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,153,0.153,80,0.08,73,0.073
1000,158,0.158,90,0.09,68,0.068
1000,155,0.155,109,0.109,46,0.046
1000,159,0.159,88,0.088,71,0.071
1000,154,0.154,86,0.086,68,0.068
1000,173,0.173,88,0.088,85,0.085
1000,166,0.166,87,0.087,79,0.079
1000,170,0.17,93,0.093,77,0.077
1000,161,0.161,88,0.088,73,0.073
1000,178,0.178,103,0.103,75,0.075
1000,168,0.168,100,0.1,68,0.068
1000,146,0.146,91,0.091,55,0.055
1000,176,0.176,111,0.111,65,0.065
1000,183,0.183,99,0.099,84,0.084
1000,138,0.138,81,0.081,57,0.057
1000,175,0.175,106,0.106,69,0.069
1000,166,0.166,87,0.087,79,0.079
1000,157,0.157,94,0.094,63,0.063
1000,159,0.159,100,0.1,59,0.059
1000,145,0.145,75,0.075,70,0.07
1000,153,0.153,78,0.078,75,0.075
1000,169,0.169,96,0.096,73,0.073
1000,176,0.176,109,0.109,67,0.067
1000,161,0.161,97,0.097,64,0.064
1000,173,0.173,99,0.099,74,0.074
1000,174,0.174,100,0.1,74,0.074
1000,174,0.174,94,0.094,80,0.08
1000,159,0.159,88,0.088,71,0.071
1000,153,0.153,94,0.094,59,0.059
1000,164,0.164,84,0.084,80,0.08
1000,154,0.154,83,0.083,71,0.071
1000,167,0.167,94,0.094,73,0.073
1000,139,0.139,72,0.072,67,0.067
1000,163,0.163,96,0.096,67,0.067
1000,156,0.156,79,0.079,77,0.077
1000,171,0.171,102,0.102,69,0.069
1000,174,0.174,96,0.096,78,0.078
1000,141,0.141,55,0.055,86,0.086
1000,171,0.171,99,0.099,72,0.072
1000,168,0.168,94,0.094,74,0.074
1000,164,0.164,91,0.091,73,0.073
1000,166,0.166,90,0.09,76,0.076
1000,110,0.11,110,0.11,0,0
1000,111,0.111,111,0.111,0,0
1000,113,0.113,113,0.113,0,0
1000,121,0.121,121,0.121,0,0
1000,111,0.111,111,0.111,0,0
1000,124,0.124,124,0.124,0,0
1000,117,0.117,117,0.117,0,0
1000,101,0.101,101,0.101,0,0
1000,110,0.11,110,0.11,0,0
1000,116,0.116,116,0.116,0,0
1000,120,0.12,120,0.12,0,0
1000,116,0.116,116,0.116,0,0
1000,107,0.107,107,0.107,0,0
1000,99,0.099,99,0.099,0,0
1000,118,0.118,118,0.118,0,0
1000,115,0.115,115,0.115,0,0
1000,113,0.113,113,0.113,0,0
1000,120,0.12,120,0.12,0,0
1000,110,0.11,110,0.11,0,0
1000,109,0.109,109,0.109,0,0
1000,120,0.12,120,0.12,0,0
1000,112,0.112,112,0.112,0,0
1000,105,0.105,105,0.105,0,0
1000,119,0.119,119,0.119,0,0
1000,118,0.118,118,0.118,0,0
1000,117,0.117,117,0.117,0,0
1000,120,0.12,120,0.12,0,0
1000,118,0.118,118,0.118,0,0
1000,118,0.118,118,0.118,0,0
1000,107,0.107,107,0.107,0,0
1000,118,0.118,118,0.118,0,0
1000,103,0.103,103,0.103,0,0
1000,112,0.112,112,0.112,0,0
1000,111,0.111,111,0.111,0,0
1000,117,0.117,117,0.117,0,0
1000,122,0.122,122,0.122,0,0
1000,115,0.115,115,0.115,0,0
1000,105,0.105,105,0.105,0,0
1000,111,0.111,111,0.111,0,0
1000,114,0.114,114,0.114,0,0
1000,120,0.12,120,0.12,0,0
1000,112,0.112,112,0.112,0,0
1000,105,0.105,105,0.105,0,0
1000,105,0.105,105,0.105,0,0
1000,123,0.123,123,0.123,0,0
1000,122,0.122,122,0.122,0,0
1000,104,0.104,104,0.104,0,0
1000,105,0.105,105,0.105,0,0
1000,117,0.117,117,0.117,0,0
1000,122,0.122,122,0.122,0,0
1000,191,0.191,99,0.099,92,0.092
1000,140,0.14,85,0.085,55,0.055
1000,168,0.168,92,0.092,76,0.076
1000,172,0.172,83,0.083,89,0.089
1000,171,0.171,83,0.083,88,0.088
1000,183,0.183,89,0.089,94,0.094
1000,157,0.157,86,0.086,71,0.071
1000,157,0.157,63,0.063,94,0.094
1000,155,0.155,95,0.095,60,0.06
1000,170,0.17,91,0.091,79,0.079
1000,160,0.16,64,0.064,96,0.096
1000,150,0.15,89,0.089,61,0.061
1000,179,0.179,86,0.086,93,0.093
1000,162,0.162,90,0.09,72,0.072
1000,175,0.175,93,0.093,82,0.082
1000,180,0.18,76,0.076,104,0.104
1000,171,0.171,84,0.084,87,0.087
1000,173,0.173,88,0.088,85,0.085
1000,117,0.117,42,0.042,75,0.075
1000,148,0.148,91,0.091,57,0.057
1000,185,0.185,99,0.099,86,0.086
1000,178,0.178,89,0.089,89,0.089
1000,181,0.181,86,0.086,95,0.095
1000,181,0.181,88,0.088,93,0.093
1000,175,0.175,98,0.098,77,0.077
1000,170,0.17,74,0.074,96,0.096
1000,186,0.186,108,0.108,78,0.078
1000,165,0.165,79,0.079,86,0.086
1000,156,0.156,95,0.095,61,0.061
1000,150,0.15,80,0.08,70,0.07
1000,180,0.18,85,0.085,95,0.095
1000,179,0.179,90,0.09,89,0.089
1000,175,0.175,71,0.071,104,0.104
1000,166,0.166,99,0.099,67,0.067
1000,179,0.179,92,0.092,87,0.087
1000,166,0.166,89,0.089,77,0.077
1000,173,0.173,95,0.095,78,0.078
1000,190,0.19,85,0.085,105,0.105
1000,182,0.182,90,0.09,92,0.092
1000,138,0.138,69,0.069,69,0.069
1000,162,0.162,80,0.08,82,0.082
1000,179,0.179,92,0.092,87,0.087
1000,165,0.165,84,0.084,81,0.081
1000,160,0.16,75,0.075,85,0.085
1000,150,0.15,52,0.052,98,0.098
1000,146,0.146,78,0.078,68,0.068
1000,161,0.161,80,0.08,81,0.081
1000,167,0.167,97,0.097,70,0.07
1000,147,0.147,76,0.076,71,0.071
1000,138,0.138,59,0.059,79,0.079
1000,108,0.108,108,0.108,0,0
1000,116,0.116,116,0.116,0,0
1000,94,0.094,94,0.094,0,0
1000,112,0.112,112,0.112,0,0
1000,122,0.122,122,0.122,0,0
1000,120,0.12,120,0.12,0,0
1000,119,0.119,119,0.119,0,0
1000,114,0.114,114,0.114,0,0
1000,117,0.117,117,0.117,0,0
1000,108,0.108,108,0.108,0,0
1000,119,0.119,119,0.119,0,0
1000,123,0.123,123,0.123,0,0
1000,113,0.113,113,0.113,0,0
1000,96,0.096,96,0.096,0,0
1000,109,0.109,109,0.109,0,0
1000,119,0.119,119,0.119,0,0
1000,112,0.112,112,0.112,0,0
1000,114,0.114,114,0.114,0,0
1000,114,0.114,114,0.114,0,0
1000,122,0.122,122,0.122,0,0
1000,122,0.122,122,0.122,0,0
1000,116,0.116,116,0.116,0,0
1000,116,0.116,116,0.116,0,0
1000,110,0.11,110,0.11,0,0
1000,116,0.116,116,0.116,0,0
1000,113,0.113,113,0.113,0,0
1000,120,0.12,120,0.12,0,0
1000,111,0.111,111,0.111,0,0
1000,110,0.11,110,0.11,0,0
1000,110,0.11,110,0.11,0,0
1000,112,0.112,112,0.112,0,0
1000,114,0.114,114,0.114,0,0
1000,110,0.11,110,0.11,0,0
1000,107,0.107,107,0.107,0,0
1000,117,0.117,117,0.117,0,0
1000,117,0.117,117,0.117,0,0
1000,123,0.123,123,0.123,0,0
1000,93,0.093,93,0.093,0,0
1000,111,0.111,111,0.111,0,0
1000,121,0.121,121,0.121,0,0
1000,109,0.109,109,0.109,0,0
1000,103,0.103,103,0.103,0,0
1000,114,0.114,114,0.114,0,0
1000,116,0.116,116,0.116,0,0
1000,121,0.121,121,0.121,0,0
1000,108,0.108,108,0.108,0,0
1000,122,0.122,122,0.122,0,0
1000,123,0.123,123,0.123,0,0
1000,113,0.113,113,0.113,0,0
1000,109,0.109,109,0.109,0,0
1000,174,0.174,85,0.085,89,0.089
1000,187,0.187,88,0.088,99,0.099
1000,179,0.179,66,0.066,113,0.113
1000,181,0.181,79,0.079,102,0.102
1000,180,0.18,81,0.081,99,0.099
1000,198,0.198,98,0.098,100,0.1
1000,177,0.177,76,0.076,101,0.101
1000,163,0.163,74,0.074,89,0.089
1000,168,0.168,77,0.077,91,0.091
1000,185,0.185,82,0.082,103,0.103
1000,194,0.194,89,0.089,105,0.105
1000,180,0.18,81,0.081,99,0.099
1000,189,0.189,97,0.097,92,0.092
1000,195,0.195,92,0.092,103,0.103
1000,173,0.173,79,0.079,94,0.094
1000,173,0.173,94,0.094,79,0.079
1000,159,0.159,85,0.085,74,0.074
1000,190,0.19,103,0.103,87,0.087
1000,194,0.194,90,0.09,104,0.104
1000,169,0.169,77,0.077,92,0.092
1000,190,0.19,104,0.104,86,0.086
1000,159,0.159,65,0.065,94,0.094
1000,170,0.17,48,0.048,122,0.122
1000,153,0.153,49,0.049,104,0.104
1000,158,0.158,70,0.07,88,0.088
1000,157,0.157,85,0.085,72,0.072
1000,177,0.177,85,0.085,92,0.092
1000,181,0.181,96,0.096,85,0.085
1000,188,0.188,87,0.087,101,0.101
1000,196,0.196,78,0.078,118,0.118
1000,159,0.159,65,0.065,94,0.094
1000,185,0.185,83,0.083,102,0.102
1000,185,0.185,94,0.094,91,0.091
1000,176,0.176,89,0.089,87,0.087
1000,180,0.18,80,0.08,100,0.1
1000,177,0.177,79,0.079,98,0.098
1000,177,0.177,80,0.08,97,0.097
1000,162,0.162,68,0.068,94,0.094
1000,181,0.181,74,0.074,107,0.107
1000,196,0.196,97,0.097,99,0.099
1000,165,0.165,75,0.075,90,0.09
1000,186,0.186,92,0.092,94,0.094
1000,177,0.177,93,0.093,84,0.084
1000,175,0.175,94,0.094,81,0.081
1000,184,0.184,90,0.09,94,0.094
1000,177,0.177,89,0.089,88,0.088
1000,186,0.186,72,0.072,114,0.114
1000,161,0.161,63,0.063,98,0.098
1000,163,0.163,79,0.079,84,0.084
1000,190,0.19,82,0.082,108,0.108
1000,115,0.115,115,0.115,0,0
1000,115,0.115,115,0.115,0,0
1000,122,0.122,122,0.122,0,0
1000,117,0.117,117,0.117,0,0
1000,120,0.12,120,0.12,0,0
1000,115,0.115,115,0.115,0,0
1000,111,0.111,111,0.111,0,0
1000,107,0.107,107,0.107,0,0
1000,113,0.113,113,0.113,0,0
1000,112,0.112,112,0.112,0,0
1000,117,0.117,117,0.117,0,0
1000,122,0.122,122,0.122,0,0
1000,123,0.123,123,0.123,0,0
1000,108,0.108,108,0.108,0,0
1000,102,0.102,102,0.102,0,0
