Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
900,84,0.0933333,43,0.0477778,41,0.0455556,6,10
900,112,0.124444,83,0.0922222,29,0.0322222,9,13
900,96,0.106667,66,0.0733333,30,0.0333333,9,12
900,87,0.0966667,46,0.0511111,41,0.0455556,7,17
900,96,0.106667,91,0.101111,5,0.00555556,10,0
900,110,0.122222,71,0.0788889,39,0.0433333,7,20
900,97,0.107778,53,0.0588889,44,0.0488889,9,11
900,96,0.106667,59,0.0655556,37,0.0411111,5,12
900,100,0.111111,63,0.07,37,0.0411111,6,13
900,98,0.108889,64,0.0711111,34,0.0377778,13,15
900,89,0.0988889,60,0.0666667,29,0.0322222,9,12
900,96,0.106667,67,0.0744444,29,0.0322222,6,10
900,69,0.0766667,25,0.0277778,44,0.0488889,3,13
900,82,0.0911111,39,0.0433333,43,0.0477778,6,19
900,85,0.0944444,45,0.05,40,0.0444444,6,13
900,89,0.0988889,55,0.0611111,34,0.0377778,5,11
900,80,0.0888889,33,0.0366667,47,0.0522222,2,14
900,98,0.108889,39,0.0433333,59,0.0655556,2,22
900,79,0.0877778,48,0.0533333,31,0.0344444,3,9
900,95,0.105556,55,0.0611111,40,0.0444444,10,16
900,90,0.1,85,0.0944444,5,0.00555556,11,2
900,82,0.0911111,37,0.0411111,45,0.05,2,17
900,96,0.106667,56,0.0622222,40,0.0444444,5,13
900,82,0.0911111,49,0.0544444,33,0.0366667,4,10
900,88,0.0977778,46,0.0511111,42,0.0466667,8,12
900,115,0.127778,59,0.0655556,56,0.0622222,12,22
900,76,0.0844444,49,0.0544444,27,0.03,6,7
900,93,0.103333,47,0.0522222,46,0.0511111,7,11
900,90,0.1,57,0.0633333,33,0.0366667,7,14
900,95,0.105556,70,0.0777778,25,0.0277778,8,9
900,83,0.0922222,51,0.0566667,32,0.0355556,5,11
900,100,0.111111,59,0.0655556,41,0.0455556,7,15
900,78,0.0866667,51,0.0566667,27,0.03,6,9
900,85,0.0944444,69,0.0766667,16,0.0177778,3,4
900,103,0.114444,46,0.0511111,57,0.0633333,8,21
900,93,0.103333,42,0.0466667,51,0.0566667,9,18
900,103,0.114444,51,0.0566667,52,0.0577778,1,19
900,102,0.113333,55,0.0611111,47,0.0522222,4,12
900,69,0.0766667,38,0.0422222,31,0.0344444,4,12
900,89,0.0988889,35,0.0388889,54,0.06,3,21
900,96,0.106667,39,0.0433333,57,0.0633333,7,28
900,97,0.107778,59,0.0655556,38,0.0422222,3,17
900,95,0.105556,60,0.0666667,35,0.0388889,8,20
900,101,0.112222,55,0.0611111,46,0.0511111,7,9
900,76,0.0844444,46,0.0511111,30,0.0333333,3,11
900,84,0.0933333,66,0.0733333,18,0.02,9,5
900,105,0.116667,71,0.0788889,34,0.0377778,8,14
900,100,0.111111,76,0.0844444,24,0.0266667,7,5
900,94,0.104444,48,0.0533333,46,0.0511111,3,19
900,98,0.108889,63,0.07,35,0.0388889,3,13
900,80,0.0888889,27,0.03,53,0.0588889,5,16
900,101,0.112222,75,0.0833333,26,0.0288889,11,9
900,103,0.114444,55,0.0611111,48,0.0533333,3,19
900,103,0.114444,50,0.0555556,53,0.0588889,4,15
900,122,0.135556,63,0.07,59,0.0655556,7,25
900,103,0.114444,71,0.0788889,32,0.0355556,9,8
900,72,0.08,24,0.0266667,48,0.0533333,2,16
900,96,0.106667,71,0.0788889,25,0.0277778,3,6
900,91,0.101111,74,0.0822222,17,0.0188889,11,3
900,88,0.0977778,37,0.0411111,51,0.0566667,3,14
