Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,84,0.084,32,0.032,52,0.052
1000,127,0.127,36,0.036,91,0.091
1000,72,0.072,54,0.054,18,0.018
1000,90,0.09,58,0.058,32,0.032
1000,51,0.051,33,0.033,18,0.018
1000,53,0.053,36,0.036,17,0.017
1000,43,0.043,25,0.025,18,0.018
1000,58,0.058,26,0.026,32,0.032
1000,95,0.095,29,0.029,66,0.066
1000,112,0.112,56,0.056,56,0.056
1000,154,0.154,70,0.07,84,0.084
1000,84,0.084,36,0.036,48,0.048
1000,60,0.06,36,0.036,24,0.024
1000,85,0.085,30,0.03,55,0.055
1000,95,0.095,60,0.06,35,0.035
1000,83,0.083,53,0.053,30,0.03
1000,55,0.055,39,0.039,16,0.016
1000,46,0.046,29,0.029,17,0.017
1000,134,0.134,26,0.026,108,0.108
1000,42,0.042,25,0.025,17,0.017
1000,87,0.087,30,0.03,57,0.057
1000,50,0.05,33,0.033,17,0.017
1000,53,0.053,29,0.029,24,0.024
1000,89,0.089,47,0.047,42,0.042
1000,77,0.077,26,0.026,51,0.051
1000,85,0.085,29,0.029,56,0.056
1000,107,0.107,31,0.031,76,0.076
1000,81,0.081,29,0.029,52,0.052
1000,75,0.075,29,0.029,46,0.046
1000,102,0.102,28,0.028,74,0.074
1000,110,0.11,105,0.105,5,0.005
1000,82,0.082,64,0.064,18,0.018
1000,118,0.118,105,0.105,13,0.013
1000,63,0.063,45,0.045,18,0.018
1000,109,0.109,105,0.105,4,0.004
1000,69,0.069,58,0.058,11,0.011
1000,107,0.107,101,0.101,6,0.006
1000,111,0.111,105,0.105,6,0.006
1000,108,0.108,97,0.097,11,0.011
1000,93,0.093,84,0.084,9,0.009
1000,99,0.099,94,0.094,5,0.005
1000,71,0.071,59,0.059,12,0.012
1000,107,0.107,83,0.083,24,0.024
1000,88,0.088,66,0.066,22,0.022
1000,59,0.059,52,0.052,7,0.007
1000,99,0.099,93,0.093,6,0.006
1000,108,0.108,100,0.1,8,0.008
1000,70,0.07,57,0.057,13,0.013
1000,108,0.108,103,0.103,5,0.005
1000,73,0.073,63,0.063,10,0.01
1000,106,0.106,101,0.101,5,0.005
1000,62,0.062,55,0.055,7,0.007
1000,64,0.064,51,0.051,13,0.013
1000,62,0.062,54,0.054,8,0.008
1000,57,0.057,54,0.054,3,0.003
1000,77,0.077,64,0.064,13,0.013
1000,104,0.104,100,0.1,4,0.004
1000,107,0.107,94,0.094,13,0.013
1000,104,0.104,99,0.099,5,0.005
1000,110,0.11,101,0.101,9,0.009
