Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,129,0.129,79,0.079,50,0.05
1000,104,0.104,79,0.079,25,0.025
1000,111,0.111,95,0.095,16,0.016
1000,115,0.115,74,0.074,41,0.041
1000,96,0.096,72,0.072,24,0.024
1000,81,0.081,61,0.061,20,0.02
1000,98,0.098,53,0.053,45,0.045
1000,123,0.123,91,0.091,32,0.032
1000,110,0.11,74,0.074,36,0.036
1000,140,0.14,101,0.101,39,0.039
1000,128,0.128,69,0.069,59,0.059
1000,136,0.136,70,0.07,66,0.066
1000,103,0.103,67,0.067,36,0.036
1000,128,0.128,74,0.074,54,0.054
1000,121,0.121,97,0.097,24,0.024
1000,71,0.071,33,0.033,38,0.038
1000,95,0.095,81,0.081,14,0.014
1000,132,0.132,88,0.088,44,0.044
1000,93,0.093,68,0.068,25,0.025
1000,127,0.127,91,0.091,36,0.036
1000,98,0.098,60,0.06,38,0.038
1000,129,0.129,88,0.088,41,0.041
1000,119,0.119,68,0.068,51,0.051
1000,95,0.095,63,0.063,32,0.032
1000,124,0.124,77,0.077,47,0.047
1000,132,0.132,65,0.065,67,0.067
1000,108,0.108,75,0.075,33,0.033
1000,88,0.088,57,0.057,31,0.031
1000,115,0.115,62,0.062,53,0.053
1000,123,0.123,91,0.091,32,0.032
1000,129,0.129,74,0.074,55,0.055
1000,119,0.119,80,0.08,39,0.039
1000,105,0.105,62,0.062,43,0.043
1000,89,0.089,44,0.044,45,0.045
1000,157,0.157,83,0.083,74,0.074
1000,119,0.119,90,0.09,29,0.029
1000,90,0.09,53,0.053,37,0.037
1000,143,0.143,92,0.092,51,0.051
1000,108,0.108,69,0.069,39,0.039
1000,155,0.155,69,0.069,86,0.086
1000,127,0.127,63,0.063,64,0.064
1000,92,0.092,62,0.062,30,0.03
1000,87,0.087,51,0.051,36,0.036
1000,136,0.136,62,0.062,74,0.074
1000,115,0.115,81,0.081,34,0.034
1000,108,0.108,76,0.076,32,0.032
1000,119,0.119,67,0.067,52,0.052
1000,122,0.122,71,0.071,51,0.051
1000,128,0.128,82,0.082,46,0.046
1000,82,0.082,57,0.057,25,0.025
1000,126,0.126,64,0.064,62,0.062
1000,90,0.09,47,0.047,43,0.043
1000,140,0.14,83,0.083,57,0.057
1000,142,0.142,65,0.065,77,0.077
1000,134,0.134,95,0.095,39,0.039
1000,109,0.109,66,0.066,43,0.043
1000,93,0.093,55,0.055,38,0.038
1000,131,0.131,72,0.072,59,0.059
1000,141,0.141,64,0.064,77,0.077
1000,100,0.1,61,0.061,39,0.039
