Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
900,108,0.12,57,0.0633333,51,0.0566667,6,22
900,96,0.106667,65,0.0722222,31,0.0344444,12,9
900,94,0.104444,53,0.0588889,41,0.0455556,3,19
900,81,0.09,41,0.0455556,40,0.0444444,1,11
900,95,0.105556,69,0.0766667,26,0.0288889,5,10
900,87,0.0966667,55,0.0611111,32,0.0355556,6,8
900,85,0.0944444,44,0.0488889,41,0.0455556,2,16
900,102,0.113333,62,0.0688889,40,0.0444444,6,18
900,108,0.12,65,0.0722222,43,0.0477778,9,21
900,119,0.132222,80,0.0888889,39,0.0433333,10,22
900,87,0.0966667,58,0.0644444,29,0.0322222,6,14
900,73,0.0811111,45,0.05,28,0.0311111,7,6
900,111,0.123333,85,0.0944444,26,0.0288889,7,11
900,108,0.12,66,0.0733333,42,0.0466667,6,20
900,109,0.121111,77,0.0855556,32,0.0355556,6,14
900,112,0.124444,80,0.0888889,32,0.0355556,3,10
900,98,0.108889,63,0.07,35,0.0388889,4,10
900,93,0.103333,63,0.07,30,0.0333333,7,8
900,89,0.0988889,51,0.0566667,38,0.0422222,3,15
900,91,0.101111,61,0.0677778,30,0.0333333,7,7
900,90,0.1,38,0.0422222,52,0.0577778,3,20
900,102,0.113333,65,0.0722222,37,0.0411111,9,11
900,81,0.09,76,0.0844444,5,0.00555556,15,0
900,85,0.0944444,47,0.0522222,38,0.0422222,4,15
900,99,0.11,78,0.0866667,21,0.0233333,3,10
900,88,0.0977778,69,0.0766667,19,0.0211111,9,8
900,90,0.1,42,0.0466667,48,0.0533333,1,19
900,78,0.0866667,61,0.0677778,17,0.0188889,6,5
900,93,0.103333,60,0.0666667,33,0.0366667,6,14
900,88,0.0977778,58,0.0644444,30,0.0333333,5,8
900,85,0.0944444,53,0.0588889,32,0.0355556,5,7
900,78,0.0866667,44,0.0488889,34,0.0377778,8,11
900,106,0.117778,59,0.0655556,47,0.0522222,3,16
900,95,0.105556,79,0.0877778,16,0.0177778,11,6
900,100,0.111111,59,0.0655556,41,0.0455556,4,11
900,104,0.115556,59,0.0655556,45,0.05,8,16
900,86,0.0955556,40,0.0444444,46,0.0511111,4,17
900,97,0.107778,64,0.0711111,33,0.0366667,7,12
900,100,0.111111,55,0.0611111,45,0.05,3,16
900,89,0.0988889,54,0.06,35,0.0388889,4,11
900,88,0.0977778,40,0.0444444,48,0.0533333,7,19
900,104,0.115556,76,0.0844444,28,0.0311111,10,10
900,88,0.0977778,43,0.0477778,45,0.05,2,18
900,104,0.115556,62,0.0688889,42,0.0466667,4,14
900,82,0.0911111,71,0.0788889,11,0.0122222,8,2
900,73,0.0811111,38,0.0422222,35,0.0388889,5,17
900,99,0.11,64,0.0711111,35,0.0388889,9,16
900,79,0.0877778,53,0.0588889,26,0.0288889,6,9
900,102,0.113333,44,0.0488889,58,0.0644444,5,26
900,98,0.108889,57,0.0633333,41,0.0455556,5,16
900,93,0.103333,57,0.0633333,36,0.04,3,15
900,84,0.0933333,56,0.0622222,28,0.0311111,11,8
900,105,0.116667,42,0.0466667,63,0.07,7,20
900,71,0.0788889,36,0.04,35,0.0388889,5,8
900,82,0.0911111,49,0.0544444,33,0.0366667,5,15
900,101,0.112222,56,0.0622222,45,0.05,4,20
900,89,0.0988889,69,0.0766667,20,0.0222222,9,6
900,100,0.111111,87,0.0966667,13,0.0144444,5,4
900,86,0.0955556,58,0.0644444,28,0.0311111,9,9
900,75,0.0833333,50,0.0555556,25,0.0277778,6,9
