Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
900,85,0.0944444,73,0.0811111,12,0.0133333,6,0
900,91,0.101111,78,0.0866667,13,0.0144444,4,0
900,68,0.0755556,56,0.0622222,12,0.0133333,7,0
900,77,0.0855556,60,0.0666667,17,0.0188889,1,0
900,77,0.0855556,72,0.08,5,0.00555556,4,0
900,98,0.108889,91,0.101111,7,0.00777778,9,0
900,74,0.0822222,61,0.0677778,13,0.0144444,4,0
900,92,0.102222,81,0.09,11,0.0122222,7,0
900,87,0.0966667,78,0.0866667,9,0.01,3,0
900,91,0.101111,82,0.0911111,9,0.01,6,0
900,87,0.0966667,77,0.0855556,10,0.0111111,6,0
900,84,0.0933333,73,0.0811111,11,0.0122222,11,0
900,77,0.0855556,71,0.0788889,6,0.00666667,5,0
900,85,0.0944444,72,0.08,13,0.0144444,5,0
900,88,0.0977778,77,0.0855556,11,0.0122222,9,0
900,110,0.122222,103,0.114444,7,0.00777778,12,0
900,69,0.0766667,60,0.0666667,9,0.01,3,0
900,83,0.0922222,72,0.08,11,0.0122222,10,0
900,86,0.0955556,75,0.0833333,11,0.0122222,11,0
900,87,0.0966667,70,0.0777778,17,0.0188889,8,0
900,80,0.0888889,67,0.0744444,13,0.0144444,10,0
900,81,0.09,67,0.0744444,14,0.0155556,4,0
900,88,0.0977778,80,0.0888889,8,0.00888889,9,0
900,93,0.103333,85,0.0944444,8,0.00888889,10,0
900,93,0.103333,87,0.0966667,6,0.00666667,6,0
900,72,0.08,55,0.0611111,17,0.0188889,4,0
900,83,0.0922222,76,0.0844444,7,0.00777778,2,0
900,83,0.0922222,75,0.0833333,8,0.00888889,6,0
900,88,0.0977778,71,0.0788889,17,0.0188889,7,0
900,89,0.0988889,77,0.0855556,12,0.0133333,9,0
900,92,0.102222,85,0.0944444,7,0.00777778,6,0
900,74,0.0822222,69,0.0766667,5,0.00555556,4,0
900,86,0.0955556,77,0.0855556,9,0.01,6,0
900,83,0.0922222,73,0.0811111,10,0.0111111,6,0
900,91,0.101111,80,0.0888889,11,0.0122222,7,0
900,72,0.08,54,0.06,18,0.02,5,0
900,73,0.0811111,60,0.0666667,13,0.0144444,13,0
900,79,0.0877778,69,0.0766667,10,0.0111111,5,0
900,85,0.0944444,74,0.0822222,11,0.0122222,3,0
900,100,0.111111,92,0.102222,8,0.00888889,5,0
900,88,0.0977778,81,0.09,7,0.00777778,5,0
900,90,0.1,83,0.0922222,7,0.00777778,7,0
900,75,0.0833333,70,0.0777778,5,0.00555556,6,0
900,68,0.0755556,58,0.0644444,10,0.0111111,8,0
900,93,0.103333,85,0.0944444,8,0.00888889,10,0
900,82,0.0911111,73,0.0811111,9,0.01,6,0
900,74,0.0822222,67,0.0744444,7,0.00777778,8,0
900,85,0.0944444,67,0.0744444,18,0.02,4,0
900,73,0.0811111,65,0.0722222,8,0.00888889,5,0
900,99,0.11,90,0.1,9,0.01,6,0
900,94,0.104444,88,0.0977778,6,0.00666667,9,0
900,77,0.0855556,65,0.0722222,12,0.0133333,4,0
900,85,0.0944444,74,0.0822222,11,0.0122222,5,0
900,85,0.0944444,77,0.0855556,8,0.00888889,5,0
900,79,0.0877778,72,0.08,7,0.00777778,7,0
900,74,0.0822222,61,0.0677778,13,0.0144444,4,0
900,84,0.0933333,72,0.08,12,0.0133333,8,0
900,83,0.0922222,75,0.0833333,8,0.00888889,5,0
900,84,0.0933333,74,0.0822222,10,0.0111111,4,0
900,82,0.0911111,70,0.0777778,12,0.0133333,4,0
