Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
900,91,0.101111,43,0.0477778,48,0.0533333,4,18
900,86,0.0955556,53,0.0588889,33,0.0366667,4,13
900,91,0.101111,62,0.0688889,29,0.0322222,6,9
900,109,0.121111,81,0.09,28,0.0311111,9,7
900,100,0.111111,52,0.0577778,48,0.0533333,2,20
900,101,0.112222,50,0.0555556,51,0.0566667,8,18
900,101,0.112222,58,0.0644444,43,0.0477778,8,14
900,81,0.09,54,0.06,27,0.03,8,8
900,73,0.0811111,44,0.0488889,29,0.0322222,4,3
900,76,0.0844444,36,0.04,40,0.0444444,3,10
900,85,0.0944444,48,0.0533333,37,0.0411111,3,10
900,90,0.1,66,0.0733333,24,0.0266667,2,7
900,63,0.07,38,0.0422222,25,0.0277778,8,9
900,96,0.106667,42,0.0466667,54,0.06,5,21
900,93,0.103333,76,0.0844444,17,0.0188889,13,6
900,91,0.101111,40,0.0444444,51,0.0566667,7,23
900,96,0.106667,43,0.0477778,53,0.0588889,2,18
900,98,0.108889,64,0.0711111,34,0.0377778,7,12
900,92,0.102222,54,0.06,38,0.0422222,7,10
900,96,0.106667,70,0.0777778,26,0.0288889,9,11
900,99,0.11,63,0.07,36,0.04,7,12
900,108,0.12,42,0.0466667,66,0.0733333,5,23
900,98,0.108889,47,0.0522222,51,0.0566667,5,13
900,66,0.0733333,41,0.0455556,25,0.0277778,4,10
900,98,0.108889,54,0.06,44,0.0488889,4,13
900,100,0.111111,54,0.06,46,0.0511111,9,16
900,116,0.128889,54,0.06,62,0.0688889,5,25
900,119,0.132222,65,0.0722222,54,0.06,3,20
900,113,0.125556,62,0.0688889,51,0.0566667,6,15
900,92,0.102222,62,0.0688889,30,0.0333333,6,5
900,95,0.105556,58,0.0644444,37,0.0411111,4,11
900,77,0.0855556,39,0.0433333,38,0.0422222,2,17
900,98,0.108889,56,0.0622222,42,0.0466667,7,14
900,75,0.0833333,41,0.0455556,34,0.0377778,7,19
900,84,0.0933333,54,0.06,30,0.0333333,8,14
900,97,0.107778,54,0.06,43,0.0477778,16,16
900,83,0.0922222,58,0.0644444,25,0.0277778,5,3
900,89,0.0988889,54,0.06,35,0.0388889,8,17
900,61,0.0677778,27,0.03,34,0.0377778,2,14
900,78,0.0866667,45,0.05,33,0.0366667,7,4
900,82,0.0911111,47,0.0522222,35,0.0388889,2,14
900,111,0.123333,88,0.0977778,23,0.0255556,5,5
900,96,0.106667,56,0.0622222,40,0.0444444,3,16
900,100,0.111111,48,0.0533333,52,0.0577778,5,16
900,91,0.101111,43,0.0477778,48,0.0533333,9,16
900,101,0.112222,51,0.0566667,50,0.0555556,7,23
900,95,0.105556,49,0.0544444,46,0.0511111,5,17
900,86,0.0955556,59,0.0655556,27,0.03,9,7
900,98,0.108889,66,0.0733333,32,0.0355556,7,10
900,107,0.118889,74,0.0822222,33,0.0366667,10,14
900,105,0.116667,62,0.0688889,43,0.0477778,7,16
900,106,0.117778,57,0.0633333,49,0.0544444,7,16
900,97,0.107778,73,0.0811111,24,0.0266667,6,13
900,106,0.117778,52,0.0577778,54,0.06,12,19
900,92,0.102222,66,0.0733333,26,0.0288889,6,9
900,100,0.111111,57,0.0633333,43,0.0477778,7,15
900,88,0.0977778,55,0.0611111,33,0.0366667,7,12
900,113,0.125556,65,0.0722222,48,0.0533333,7,17
900,98,0.108889,72,0.08,26,0.0288889,4,12
900,89,0.0988889,53,0.0588889,36,0.04,5,14
