Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
900,71,0.0788889,62,0.0688889,9,0.01,6,0
900,102,0.113333,91,0.101111,11,0.0122222,6,0
900,82,0.0911111,73,0.0811111,9,0.01,10,0
900,91,0.101111,84,0.0933333,7,0.00777778,10,0
900,104,0.115556,95,0.105556,9,0.01,10,0
900,88,0.0977778,82,0.0911111,6,0.00666667,12,0
900,92,0.102222,85,0.0944444,7,0.00777778,9,0
900,97,0.107778,83,0.0922222,14,0.0155556,11,0
900,87,0.0966667,77,0.0855556,10,0.0111111,5,0
900,96,0.106667,89,0.0988889,7,0.00777778,10,0
900,91,0.101111,84,0.0933333,7,0.00777778,10,0
900,79,0.0877778,72,0.08,7,0.00777778,4,0
900,66,0.0733333,55,0.0611111,11,0.0122222,6,0
900,100,0.111111,91,0.101111,9,0.01,11,0
900,82,0.0911111,78,0.0866667,4,0.00444444,11,0
900,80,0.0888889,71,0.0788889,9,0.01,6,0
900,80,0.0888889,70,0.0777778,10,0.0111111,8,0
900,75,0.0833333,66,0.0733333,9,0.01,5,0
900,99,0.11,89,0.0988889,10,0.0111111,6,0
900,85,0.0944444,75,0.0833333,10,0.0111111,6,0
900,84,0.0933333,76,0.0844444,8,0.00888889,13,0
900,81,0.09,69,0.0766667,12,0.0133333,4,0
900,83,0.0922222,72,0.08,11,0.0122222,5,0
900,86,0.0955556,76,0.0844444,10,0.0111111,9,0
900,82,0.0911111,73,0.0811111,9,0.01,6,0
900,96,0.106667,79,0.0877778,17,0.0188889,8,0
900,96,0.106667,90,0.1,6,0.00666667,13,0
900,88,0.0977778,80,0.0888889,8,0.00888889,12,0
900,71,0.0788889,63,0.07,8,0.00888889,6,0
900,92,0.102222,81,0.09,11,0.0122222,7,0
900,81,0.09,76,0.0844444,5,0.00555556,8,0
900,79,0.0877778,71,0.0788889,8,0.00888889,9,0
900,79,0.0877778,72,0.08,7,0.00777778,5,0
900,84,0.0933333,76,0.0844444,8,0.00888889,6,0
900,67,0.0744444,56,0.0622222,11,0.0122222,5,0
900,67,0.0744444,57,0.0633333,10,0.0111111,8,0
900,96,0.106667,93,0.103333,3,0.00333333,8,0
900,82,0.0911111,69,0.0766667,13,0.0144444,8,0
900,90,0.1,82,0.0911111,8,0.00888889,6,0
900,87,0.0966667,80,0.0888889,7,0.00777778,9,0
900,78,0.0866667,69,0.0766667,9,0.01,5,0
900,70,0.0777778,61,0.0677778,9,0.01,5,0
900,85,0.0944444,74,0.0822222,11,0.0122222,8,0
900,89,0.0988889,79,0.0877778,10,0.0111111,7,0
900,86,0.0955556,75,0.0833333,11,0.0122222,11,0
900,87,0.0966667,75,0.0833333,12,0.0133333,8,0
900,82,0.0911111,72,0.08,10,0.0111111,7,0
900,68,0.0755556,58,0.0644444,10,0.0111111,1,0
900,77,0.0855556,70,0.0777778,7,0.00777778,4,0
900,88,0.0977778,76,0.0844444,12,0.0133333,7,0
900,90,0.1,79,0.0877778,11,0.0122222,7,0
900,73,0.0811111,66,0.0733333,7,0.00777778,8,0
900,99,0.11,89,0.0988889,10,0.0111111,1,0
900,87,0.0966667,83,0.0922222,4,0.00444444,11,0
900,95,0.105556,89,0.0988889,6,0.00666667,3,0
900,90,0.1,80,0.0888889,10,0.0111111,7,0
900,85,0.0944444,77,0.0855556,8,0.00888889,6,0
900,86,0.0955556,77,0.0855556,9,0.01,6,0
900,91,0.101111,81,0.09,10,0.0111111,5,0
900,83,0.0922222,74,0.0822222,9,0.01,8,0
