Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
900,94,0.104444,59,0.0655556,35,0.0388889,9,8
900,89,0.0988889,60,0.0666667,29,0.0322222,8,7
900,82,0.0911111,55,0.0611111,27,0.03,4,3
900,90,0.1,66,0.0733333,24,0.0266667,8,5
900,85,0.0944444,63,0.07,22,0.0244444,4,8
900,88,0.0977778,53,0.0588889,35,0.0388889,11,9
900,85,0.0944444,29,0.0322222,56,0.0622222,5,23
900,120,0.133333,74,0.0822222,46,0.0511111,12,13
900,100,0.111111,66,0.0733333,34,0.0377778,6,9
900,93,0.103333,47,0.0522222,46,0.0511111,4,18
900,106,0.117778,62,0.0688889,44,0.0488889,3,21
900,101,0.112222,55,0.0611111,46,0.0511111,8,12
900,93,0.103333,83,0.0922222,10,0.0111111,4,2
900,89,0.0988889,57,0.0633333,32,0.0355556,6,12
900,101,0.112222,63,0.07,38,0.0422222,7,14
900,95,0.105556,52,0.0577778,43,0.0477778,2,20
900,112,0.124444,58,0.0644444,54,0.06,11,12
900,103,0.114444,57,0.0633333,46,0.0511111,7,19
900,65,0.0722222,38,0.0422222,27,0.03,5,7
900,92,0.102222,63,0.07,29,0.0322222,5,3
900,102,0.113333,53,0.0588889,49,0.0544444,2,18
900,90,0.1,53,0.0588889,37,0.0411111,5,13
900,98,0.108889,79,0.0877778,19,0.0211111,10,4
900,102,0.113333,60,0.0666667,42,0.0466667,6,11
900,87,0.0966667,56,0.0622222,31,0.0344444,5,13
900,93,0.103333,45,0.05,48,0.0533333,4,24
900,96,0.106667,47,0.0522222,49,0.0544444,7,22
900,108,0.12,81,0.09,27,0.03,10,10
900,104,0.115556,80,0.0888889,24,0.0266667,7,11
900,95,0.105556,64,0.0711111,31,0.0344444,5,14
900,94,0.104444,62,0.0688889,32,0.0355556,10,10
900,103,0.114444,84,0.0933333,19,0.0211111,9,8
900,92,0.102222,79,0.0877778,13,0.0144444,6,1
900,71,0.0788889,37,0.0411111,34,0.0377778,7,12
900,86,0.0955556,45,0.05,41,0.0455556,5,14
900,112,0.124444,80,0.0888889,32,0.0355556,3,10
900,93,0.103333,63,0.07,30,0.0333333,10,7
900,109,0.121111,97,0.107778,12,0.0133333,10,5
900,89,0.0988889,52,0.0577778,37,0.0411111,7,10
900,99,0.11,45,0.05,54,0.06,9,22
900,76,0.0844444,32,0.0355556,44,0.0488889,3,15
900,91,0.101111,53,0.0588889,38,0.0422222,9,11
900,99,0.11,62,0.0688889,37,0.0411111,8,10
900,97,0.107778,59,0.0655556,38,0.0422222,4,13
900,102,0.113333,67,0.0744444,35,0.0388889,7,18
900,76,0.0844444,22,0.0244444,54,0.06,2,28
900,84,0.0933333,46,0.0511111,38,0.0422222,3,9
900,91,0.101111,39,0.0433333,52,0.0577778,4,16
900,95,0.105556,59,0.0655556,36,0.04,2,20
900,99,0.11,73,0.0811111,26,0.0288889,7,8
900,88,0.0977778,49,0.0544444,39,0.0433333,5,14
900,98,0.108889,59,0.0655556,39,0.0433333,3,14
900,108,0.12,55,0.0611111,53,0.0588889,10,23
900,98,0.108889,45,0.05,53,0.0588889,5,14
900,94,0.104444,59,0.0655556,35,0.0388889,3,11
900,75,0.0833333,48,0.0533333,27,0.03,7,9
900,96,0.106667,53,0.0588889,43,0.0477778,4,18
900,125,0.138889,81,0.09,44,0.0488889,12,16
900,81,0.09,36,0.04,45,0.05,2,12
900,100,0.111111,73,0.0811111,27,0.03,10,10
