Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
900,79,0.0877778,61,0.0677778,18,0.02,7,0
900,83,0.0922222,71,0.0788889,12,0.0133333,6,0
900,87,0.0966667,75,0.0833333,12,0.0133333,2,0
900,101,0.112222,89,0.0988889,12,0.0133333,8,0
900,84,0.0933333,73,0.0811111,11,0.0122222,8,0
900,75,0.0833333,53,0.0588889,22,0.0244444,5,0
900,91,0.101111,82,0.0911111,9,0.01,6,0
900,87,0.0966667,75,0.0833333,12,0.0133333,0,0
900,82,0.0911111,68,0.0755556,14,0.0155556,4,0
900,89,0.0988889,78,0.0866667,11,0.0122222,7,0
900,87,0.0966667,76,0.0844444,11,0.0122222,4,0
900,84,0.0933333,69,0.0766667,15,0.0166667,6,0
900,59,0.0655556,41,0.0455556,18,0.02,4,0
900,76,0.0844444,62,0.0688889,14,0.0155556,8,0
900,70,0.0777778,60,0.0666667,10,0.0111111,5,0
900,82,0.0911111,74,0.0822222,8,0.00888889,6,0
900,92,0.102222,83,0.0922222,9,0.01,4,0
900,76,0.0844444,64,0.0711111,12,0.0133333,6,0
900,85,0.0944444,71,0.0788889,14,0.0155556,3,0
900,96,0.106667,86,0.0955556,10,0.0111111,5,0
900,103,0.114444,93,0.103333,10,0.0111111,13,0
900,86,0.0955556,72,0.08,14,0.0155556,8,0
900,72,0.08,62,0.0688889,10,0.0111111,3,0
900,81,0.09,67,0.0744444,14,0.0155556,6,0
900,101,0.112222,88,0.0977778,13,0.0144444,7,0
900,71,0.0788889,65,0.0722222,6,0.00666667,6,0
900,79,0.0877778,64,0.0711111,15,0.0166667,5,0
900,76,0.0844444,59,0.0655556,17,0.0188889,2,0
900,87,0.0966667,79,0.0877778,8,0.00888889,10,0
900,82,0.0911111,65,0.0722222,17,0.0188889,6,0
900,93,0.103333,83,0.0922222,10,0.0111111,5,0
900,71,0.0788889,55,0.0611111,16,0.0177778,5,0
900,86,0.0955556,74,0.0822222,12,0.0133333,9,0
900,79,0.0877778,65,0.0722222,14,0.0155556,8,0
900,74,0.0822222,62,0.0688889,12,0.0133333,5,0
900,84,0.0933333,76,0.0844444,8,0.00888889,10,0
900,87,0.0966667,74,0.0822222,13,0.0144444,8,0
900,87,0.0966667,74,0.0822222,13,0.0144444,13,0
900,75,0.0833333,55,0.0611111,20,0.0222222,4,0
900,92,0.102222,77,0.0855556,15,0.0166667,7,0
900,74,0.0822222,63,0.07,11,0.0122222,13,0
900,90,0.1,80,0.0888889,10,0.0111111,9,0
900,86,0.0955556,66,0.0733333,20,0.0222222,8,0
900,65,0.0722222,53,0.0588889,12,0.0133333,3,0
900,95,0.105556,77,0.0855556,18,0.02,7,0
900,74,0.0822222,63,0.07,11,0.0122222,11,0
900,77,0.0855556,69,0.0766667,8,0.00888889,12,0
900,73,0.0811111,57,0.0633333,16,0.0177778,2,0
900,89,0.0988889,76,0.0844444,13,0.0144444,9,0
900,92,0.102222,78,0.0866667,14,0.0155556,2,0
900,88,0.0977778,78,0.0866667,10,0.0111111,4,0
900,89,0.0988889,82,0.0911111,7,0.00777778,13,0
900,63,0.07,40,0.0444444,23,0.0255556,3,0
900,56,0.0622222,45,0.05,11,0.0122222,6,0
900,72,0.08,60,0.0666667,12,0.0133333,4,0
900,72,0.08,57,0.0633333,15,0.0166667,2,0
900,85,0.0944444,72,0.08,13,0.0144444,5,0
900,85,0.0944444,73,0.0811111,12,0.0133333,12,0
900,45,0.05,32,0.0355556,13,0.0144444,4,0
900,87,0.0966667,72,0.08,15,0.0166667,4,0
