Forage: 8, 8, 8, 8, 9, 9, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
Forage: 9, 11, 10, 10, 8, 5, 6, 5, 8, 4, 1, 3, 0, 0, 0, 0
Forage: 13, 9, 14, 5, 7, 6, 2, 1, 0, 0, 0, 1, 1, 2, 4, 3
Forage: 7, 14, 13, 8, 8, 9, 11, 6, 7, 7, 3, 1, 2, 2, 3, 0
Forage: 10, 8, 14, 9, 11, 7, 6, 2, 4, 1, 1, 1, 0, 0, 1, 1
Forage: 10, 7, 13, 6, 8, 9, 7, 6, 1, 0, 1, 0, 0, 0, 0, 0
Forage: 6, 3, 5, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1
Forage: 7, 15, 0, 7, 0, 1, 1, 1, 2, 1, 1, 1, 0, 2, 0, 1
Forage: 8, 10, 2, 1, 0, 1, 0, 0, 0, 0, 2, 4, 2, 5, 2, 5
Forage: 11, 13, 10, 13, 9, 6, 6, 5, 1, 1, 0, 0, 1, 0, 0, 2
Forage: 11, 10, 11, 12, 7, 12, 3, 7, 4, 5, 5, 4, 4, 3, 0, 1
Forage: 12, 15, 12, 9, 5, 6, 8, 4, 5, 6, 4, 2, 3, 2, 0, 0
Forage: 8, 15, 10, 12, 9, 11, 8, 7, 6, 5, 0, 0, 0, 0, 0, 0
Forage: 9, 6, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Forage: 9, 14, 14, 9, 7, 6, 4, 0, 0, 1, 0, 0, 1, 1, 2, 0
Forage: 7, 8, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Forage: 11, 12, 14, 9, 7, 2, 4, 6, 2, 1, 0, 0, 1, 1, 1, 0
Forage: 9, 11, 7, 13, 11, 6, 11, 4, 6, 6, 2, 2, 5, 2, 2, 2
Forage: 8, 5, 8, 2, 0, 0, 0, 1, 3, 2, 3, 5, 6, 4, 5, 3
Forage: 8, 12, 16, 5, 11, 8, 5, 0, 1, 0, 0, 1, 0, 1, 1, 0
Forage: 7, 12, 11, 12, 7, 5, 13, 2, 8, 6, 5, 4, 0, 0, 0, 1
Forage: 10, 12, 12, 11, 10, 6, 6, 0, 0, 0, 0, 0, 2, 1, 2, 1
Forage: 7, 6, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
Forage: 11, 15, 9, 11, 8, 11, 1, 0, 0, 2, 0, 1, 1, 2, 2, 4
Forage: 7, 11, 11, 8, 9, 4, 8, 4, 7, 6, 4, 2, 0, 1, 0, 1
Forage: 11, 14, 9, 12, 8, 7, 4, 8, 4, 8, 4, 6, 1, 2, 2, 2
Forage: 9, 11, 14, 11, 11, 8, 6, 3, 6, 6, 4, 4, 3, 5, 0, 2
Forage: 7, 11, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0
Forage: 12, 14, 10, 11, 10, 8, 6, 6, 4, 2, 6, 1, 4, 3, 2, 1
Forage: 6, 9, 4, 1, 0, 0, 0, 1, 1, 1, 2, 1, 0, 0, 0, 0
Forage: 10, 7, 10, 7, 5, 5, 5, 5, 3, 2, 4, 0, 0, 1, 1, 2
Forage: 9, 17, 7, 11, 7, 8, 6, 8, 3, 4, 2, 3, 1, 2, 2, 1
Forage: 7, 13, 8, 11, 9, 7, 6, 7, 6, 3, 5, 2, 4, 2, 2, 2
Forage: 7, 11, 12, 8, 6, 8, 4, 5, 7, 6, 3, 3, 3, 2, 2, 2
Forage: 8, 15, 9, 8, 2, 2, 2, 2, 4, 1, 3, 1, 1, 1, 2, 1
Forage: 10, 11, 8, 11, 10, 11, 9, 8, 4, 5, 5, 2, 4, 1, 1, 0
Forage: 9, 14, 12, 10, 7, 8, 7, 1, 4, 6, 5, 2, 2, 3, 0, 1
Forage: 9, 10, 8, 6, 7, 7, 1, 7, 1, 5, 1, 3, 4, 2, 2, 2
Forage: 9, 16, 7, 5, 9, 7, 6, 6, 7, 4, 5, 4, 3, 1, 1, 0
Forage: 11, 9, 15, 6, 9, 6, 5, 7, 4, 5, 4, 3, 0, 2, 2, 2
Forage: 13, 16, 9, 11, 9, 6, 5, 9, 2, 5, 2, 0, 2, 0, 1, 0
Forage: 6, 16, 7, 9, 9, 5, 4, 3, 5, 0, 5, 1, 3, 3, 1, 2
Forage: 9, 13, 12, 11, 7, 7, 4, 3, 5, 2, 0, 2, 3, 2, 2, 1
Forage: 10, 14, 11, 11, 9, 3, 9, 5, 2, 4, 3, 3, 5, 2, 3, 0
Forage: 9, 10, 11, 9, 8, 7, 5, 2, 3, 2, 1, 2, 3, 0, 0, 2
Forage: 10, 19, 11, 8, 6, 8, 4, 5, 4, 1, 6, 4, 3, 3, 3, 2
Forage: 9, 12, 14, 10, 8, 10, 6, 3, 1, 5, 4, 0, 0, 2, 5, 1
Forage: 9, 14, 11, 5, 11, 8, 9, 10, 4, 5, 8, 2, 1, 0, 2, 1
Forage: 10, 14, 12, 12, 5, 9, 7, 8, 5, 3, 1, 0, 1, 2, 1, 1
Forage: 10, 12, 10, 9, 8, 5, 3, 3, 8, 5, 3, 7, 0, 2, 2, 2
Forage: 9, 8, 13, 11, 9, 7, 6, 3, 2, 3, 0, 4, 2, 1, 4, 0
Forage: 8, 10, 15, 8, 5, 5, 8, 6, 4, 2, 1, 2, 1, 2, 1, 1
Forage: 8, 14, 14, 11, 7, 7, 3, 5, 3, 4, 4, 2, 1, 2, 1, 1
Forage: 8, 14, 13, 7, 8, 7, 8, 5, 2, 3, 4, 1, 4, 3, 1, 2
Forage: 8, 13, 11, 10, 5, 7, 5, 4, 2, 2, 1, 3, 0, 0, 1, 0
Forage: 9, 13, 8, 15, 5, 5, 7, 3, 5, 3, 0, 2, 2, 2, 1, 1
Forage: 9, 13, 10, 10, 7, 5, 7, 4, 5, 0, 5, 4, 3, 2, 2, 4
Forage: 9, 13, 7, 5, 6, 5, 7, 4, 4, 1, 2, 4, 1, 2, 1, 0
Forage: 11, 12, 15, 10, 8, 8, 6, 5, 5, 2, 3, 3, 2, 2, 2, 1
Forage: 10, 15, 12, 3, 8, 8, 10, 7, 4, 3, 4, 1, 3, 1, 3, 1
