Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
1500,89,0.0593333,78,0.052,11,0.00733333,4,0
1500,113,0.0753333,102,0.068,11,0.00733333,9,0
1500,107,0.0713333,94,0.0626667,13,0.00866667,3,0
1500,111,0.074,103,0.0686667,8,0.00533333,3,0
1500,107,0.0713333,99,0.066,8,0.00533333,7,0
1500,103,0.0686667,91,0.0606667,12,0.008,5,0
1500,116,0.0773333,108,0.072,8,0.00533333,13,0
1500,106,0.0706667,94,0.0626667,12,0.008,3,0
1500,117,0.078,107,0.0713333,10,0.00666667,12,0
1500,110,0.0733333,103,0.0686667,7,0.00466667,9,0
1500,89,0.0593333,79,0.0526667,10,0.00666667,8,0
1500,111,0.074,102,0.068,9,0.006,9,0
1500,108,0.072,96,0.064,12,0.008,7,0
1500,118,0.0786667,104,0.0693333,14,0.00933333,8,0
1500,120,0.08,106,0.0706667,14,0.00933333,7,0
1500,116,0.0773333,108,0.072,8,0.00533333,7,0
1500,111,0.074,102,0.068,9,0.006,6,0
1500,118,0.0786667,105,0.07,13,0.00866667,8,0
1500,118,0.0786667,105,0.07,13,0.00866667,6,0
1500,78,0.052,66,0.044,12,0.008,12,0
1500,105,0.07,95,0.0633333,10,0.00666667,3,0
1500,113,0.0753333,107,0.0713333,6,0.004,14,0
1500,90,0.06,81,0.054,9,0.006,9,0
1500,121,0.0806667,107,0.0713333,14,0.00933333,4,0
1500,110,0.0733333,97,0.0646667,13,0.00866667,5,0
1500,111,0.074,99,0.066,12,0.008,6,0
1500,114,0.076,102,0.068,12,0.008,9,0
1500,117,0.078,108,0.072,9,0.006,9,0
1500,117,0.078,107,0.0713333,10,0.00666667,7,0
1500,118,0.0786667,106,0.0706667,12,0.008,7,0
1500,118,0.0786667,108,0.072,10,0.00666667,12,0
1500,115,0.0766667,104,0.0693333,11,0.00733333,10,0
1500,73,0.0486667,63,0.042,10,0.00666667,11,0
1500,116,0.0773333,108,0.072,8,0.00533333,8,0
1500,116,0.0773333,106,0.0706667,10,0.00666667,8,0
1500,116,0.0773333,108,0.072,8,0.00533333,8,0
1500,109,0.0726667,97,0.0646667,12,0.008,7,0
1500,112,0.0746667,100,0.0666667,12,0.008,8,0
1500,117,0.078,104,0.0693333,13,0.00866667,15,0
1500,104,0.0693333,89,0.0593333,15,0.01,9,0
1500,108,0.072,98,0.0653333,10,0.00666667,7,0
1500,81,0.054,74,0.0493333,7,0.00466667,12,0
1500,121,0.0806667,107,0.0713333,14,0.00933333,6,0
1500,113,0.0753333,103,0.0686667,10,0.00666667,4,0
1500,114,0.076,100,0.0666667,14,0.00933333,11,0
1500,119,0.0793333,107,0.0713333,12,0.008,9,0
1500,110,0.0733333,98,0.0653333,12,0.008,9,0
1500,110,0.0733333,100,0.0666667,10,0.00666667,12,0
1500,110,0.0733333,98,0.0653333,12,0.008,9,0
1500,108,0.072,94,0.0626667,14,0.00933333,6,0
1500,117,0.078,104,0.0693333,13,0.00866667,8,0
1500,91,0.0606667,83,0.0553333,8,0.00533333,10,0
1500,113,0.0753333,101,0.0673333,12,0.008,11,0
1500,117,0.078,105,0.07,12,0.008,6,0
1500,122,0.0813333,105,0.07,17,0.0113333,5,0
1500,117,0.078,106,0.0706667,11,0.00733333,9,0
1500,102,0.068,90,0.06,12,0.008,10,0
1500,113,0.0753333,103,0.0686667,10,0.00666667,11,0
1500,107,0.0713333,99,0.066,8,0.00533333,9,0
1500,114,0.076,104,0.0693333,10,0.00666667,4,0
