Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
1500,115,0.0766667,73,0.0486667,42,0.028,8,15
1500,109,0.0726667,64,0.0426667,45,0.03,7,6
1500,112,0.0746667,52,0.0346667,60,0.04,4,21
1500,127,0.0846667,88,0.0586667,39,0.026,8,11
1500,145,0.0966667,103,0.0686667,42,0.028,3,18
1500,123,0.082,108,0.072,15,0.01,13,6
1500,129,0.086,73,0.0486667,56,0.0373333,12,21
1500,128,0.0853333,85,0.0566667,43,0.0286667,10,10
1500,156,0.104,80,0.0533333,76,0.0506667,6,21
1500,139,0.0926667,87,0.058,52,0.0346667,3,17
1500,144,0.096,103,0.0686667,41,0.0273333,5,17
1500,140,0.0933333,81,0.054,59,0.0393333,8,24
1500,145,0.0966667,101,0.0673333,44,0.0293333,12,14
1500,128,0.0853333,83,0.0553333,45,0.03,6,12
1500,123,0.082,72,0.048,51,0.034,7,13
1500,100,0.0666667,60,0.04,40,0.0266667,7,16
1500,121,0.0806667,70,0.0466667,51,0.034,9,11
1500,135,0.09,90,0.06,45,0.03,13,18
1500,137,0.0913333,89,0.0593333,48,0.032,8,8
1500,96,0.064,49,0.0326667,47,0.0313333,1,10
1500,133,0.0886667,93,0.062,40,0.0266667,7,16
1500,143,0.0953333,98,0.0653333,45,0.03,6,14
1500,128,0.0853333,58,0.0386667,70,0.0466667,8,17
1500,132,0.088,60,0.04,72,0.048,8,21
1500,129,0.086,77,0.0513333,52,0.0346667,7,17
1500,124,0.0826667,76,0.0506667,48,0.032,6,13
1500,150,0.1,76,0.0506667,74,0.0493333,9,22
1500,158,0.105333,100,0.0666667,58,0.0386667,5,17
1500,159,0.106,95,0.0633333,64,0.0426667,8,24
1500,110,0.0733333,68,0.0453333,42,0.028,4,14
