Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
600,50,0.0833333,50,0.0833333,0,0,5,0
600,54,0.09,54,0.09,0,0,13,0
600,60,0.1,60,0.1,0,0,9,0
600,41,0.0683333,41,0.0683333,0,0,4,0
600,45,0.075,45,0.075,0,0,7,0
600,59,0.0983333,59,0.0983333,0,0,10,0
600,51,0.085,51,0.085,0,0,5,0
600,51,0.085,51,0.085,0,0,7,0
600,62,0.103333,62,0.103333,0,0,8,0
600,44,0.0733333,44,0.0733333,0,0,3,0
600,53,0.0883333,53,0.0883333,0,0,3,0
600,62,0.103333,62,0.103333,0,0,3,0
600,45,0.075,45,0.075,0,0,3,0
600,33,0.055,33,0.055,0,0,1,0
600,57,0.095,57,0.095,0,0,4,0
600,62,0.103333,62,0.103333,0,0,4,0
600,47,0.0783333,47,0.0783333,0,0,3,0
600,46,0.0766667,46,0.0766667,0,0,5,0
600,57,0.095,57,0.095,0,0,7,0
600,62,0.103333,62,0.103333,0,0,6,0
600,53,0.0883333,53,0.0883333,0,0,4,0
600,48,0.08,48,0.08,0,0,6,0
600,41,0.0683333,41,0.0683333,0,0,4,0
600,60,0.1,60,0.1,0,0,7,0
600,48,0.08,48,0.08,0,0,4,0
600,41,0.0683333,41,0.0683333,0,0,1,0
600,54,0.09,54,0.09,0,0,1,0
600,61,0.101667,61,0.101667,0,0,9,0
600,65,0.108333,65,0.108333,0,0,4,0
600,57,0.095,57,0.095,0,0,6,0
