Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created, False Positives, QZones
900,82,0.0911111,65,0.0722222,17,0.0188889,9,0,0,17
900,61,0.0677778,44,0.0488889,17,0.0188889,4,0,0,17
900,81,0.09,59,0.0655556,22,0.0244444,5,0,0,22
900,102,0.113333,85,0.0944444,17,0.0188889,7,0,0,17
900,104,0.115556,81,0.09,23,0.0255556,7,0,0,23
900,80,0.0888889,44,0.0488889,36,0.04,4,0,0,36
900,67,0.0744444,45,0.05,22,0.0244444,7,0,0,22
900,64,0.0711111,45,0.05,19,0.0211111,5,0,0,19
900,85,0.0944444,73,0.0811111,12,0.0133333,13,0,0,12
900,83,0.0922222,69,0.0766667,14,0.0155556,5,0,0,14
900,90,0.1,57,0.0633333,33,0.0366667,3,0,0,33
900,108,0.12,90,0.1,18,0.02,13,0,0,18
900,85,0.0944444,53,0.0588889,32,0.0355556,3,0,0,32
900,103,0.114444,79,0.0877778,24,0.0266667,11,0,0,24
900,64,0.0711111,41,0.0455556,23,0.0255556,3,0,0,23
900,60,0.0666667,41,0.0455556,19,0.0211111,5,0,0,19
900,92,0.102222,69,0.0766667,23,0.0255556,4,0,0,23
900,78,0.0866667,57,0.0633333,21,0.0233333,9,0,0,21
900,74,0.0822222,49,0.0544444,25,0.0277778,7,0,0,25
900,93,0.103333,59,0.0655556,34,0.0377778,5,0,0,34
900,62,0.0688889,46,0.0511111,16,0.0177778,4,0,0,16
900,102,0.113333,70,0.0777778,32,0.0355556,3,0,0,32
900,79,0.0877778,53,0.0588889,26,0.0288889,3,0,0,26
900,86,0.0955556,64,0.0711111,22,0.0244444,2,0,0,22
900,88,0.0977778,63,0.07,25,0.0277778,5,0,0,25
900,98,0.108889,69,0.0766667,29,0.0322222,7,0,0,29
900,99,0.11,72,0.08,27,0.03,2,0,0,27
900,86,0.0955556,55,0.0611111,31,0.0344444,5,0,0,31
900,68,0.0755556,58,0.0644444,10,0.0111111,8,0,0,10
900,70,0.0777778,49,0.0544444,21,0.0233333,4,0,0,21
900,87,0.0966667,55,0.0611111,32,0.0355556,6,0,0,32
900,64,0.0711111,48,0.0533333,16,0.0177778,4,0,0,16
900,74,0.0822222,49,0.0544444,25,0.0277778,5,0,0,25
900,66,0.0733333,41,0.0455556,25,0.0277778,3,0,0,25
900,94,0.104444,56,0.0622222,38,0.0422222,3,0,0,38
900,91,0.101111,79,0.0877778,12,0.0133333,10,0,0,12
900,48,0.0533333,27,0.03,21,0.0233333,3,0,0,21
900,87,0.0966667,68,0.0755556,19,0.0211111,7,0,0,19
900,109,0.121111,90,0.1,19,0.0211111,13,0,0,19
900,82,0.0911111,64,0.0711111,18,0.02,5,0,0,18
900,83,0.0922222,42,0.0466667,41,0.0455556,2,0,0,41
900,78,0.0866667,67,0.0744444,11,0.0122222,6,0,0,11
900,94,0.104444,70,0.0777778,24,0.0266667,3,0,0,24
900,53,0.0588889,30,0.0333333,23,0.0255556,4,0,0,23
900,57,0.0633333,33,0.0366667,24,0.0266667,3,0,0,24
900,89,0.0988889,67,0.0744444,22,0.0244444,6,0,0,22
900,92,0.102222,58,0.0644444,34,0.0377778,2,0,0,34
900,74,0.0822222,56,0.0622222,18,0.02,3,0,0,18
900,78,0.0866667,61,0.0677778,17,0.0188889,8,0,0,17
900,54,0.06,31,0.0344444,23,0.0255556,3,0,0,23
900,86,0.0955556,75,0.0833333,11,0.0122222,8,0,0,11
900,103,0.114444,87,0.0966667,16,0.0177778,13,0,0,16
900,84,0.0933333,67,0.0744444,17,0.0188889,6,0,0,17
900,89,0.0988889,60,0.0666667,29,0.0322222,3,0,0,29
900,100,0.111111,86,0.0955556,14,0.0155556,5,0,0,14
900,74,0.0822222,51,0.0566667,23,0.0255556,5,0,0,23
900,53,0.0588889,36,0.04,17,0.0188889,4,0,0,17
900,82,0.0911111,62,0.0688889,20,0.0222222,10,0,0,20
900,78,0.0866667,67,0.0744444,11,0.0122222,9,0,0,11
900,99,0.11,78,0.0866667,21,0.0233333,7,0,0,21
