Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created, False Positives
900,85,0.0944444,67,0.0744444,18,0.02,9,6,11
900,73,0.0811111,52,0.0577778,21,0.0233333,4,3,10
900,74,0.0822222,59,0.0655556,15,0.0166667,5,3,8
900,88,0.0977778,73,0.0811111,15,0.0166667,4,1,6
900,91,0.101111,80,0.0888889,11,0.0122222,5,1,2
900,49,0.0544444,33,0.0366667,16,0.0177778,3,1,11
900,82,0.0911111,71,0.0788889,11,0.0122222,8,1,3
900,86,0.0955556,63,0.07,23,0.0255556,7,4,12
900,78,0.0866667,64,0.0711111,14,0.0155556,8,0,6
900,67,0.0744444,60,0.0666667,7,0.00777778,10,0,4
900,76,0.0844444,63,0.07,13,0.0144444,6,2,5
900,74,0.0822222,61,0.0677778,13,0.0144444,1,1,5
900,95,0.105556,82,0.0911111,13,0.0144444,14,3,10
900,63,0.07,50,0.0555556,13,0.0144444,4,1,6
900,91,0.101111,80,0.0888889,11,0.0122222,14,2,6
900,49,0.0544444,39,0.0433333,10,0.0111111,5,1,4
900,102,0.113333,96,0.106667,6,0.00666667,9,0,1
900,80,0.0888889,68,0.0755556,12,0.0133333,6,1,5
900,89,0.0988889,77,0.0855556,12,0.0133333,6,0,4
900,78,0.0866667,59,0.0655556,19,0.0211111,9,7,14
900,92,0.102222,83,0.0922222,9,0.01,6,0,3
900,57,0.0633333,42,0.0466667,15,0.0166667,4,3,5
900,87,0.0966667,77,0.0855556,10,0.0111111,10,0,5
900,73,0.0811111,60,0.0666667,13,0.0144444,6,2,5
900,51,0.0566667,33,0.0366667,18,0.02,4,2,10
900,72,0.08,61,0.0677778,11,0.0122222,11,1,4
900,66,0.0733333,51,0.0566667,15,0.0166667,3,3,8
900,58,0.0644444,50,0.0555556,8,0.00888889,9,0,0
900,64,0.0711111,47,0.0522222,17,0.0188889,6,3,8
900,79,0.0877778,63,0.07,16,0.0177778,7,5,7
900,58,0.0644444,49,0.0544444,9,0.01,4,2,4
900,83,0.0922222,76,0.0844444,7,0.00777778,6,0,0
900,76,0.0844444,66,0.0733333,10,0.0111111,6,4,4
900,65,0.0722222,48,0.0533333,17,0.0188889,7,2,6
900,89,0.0988889,76,0.0844444,13,0.0144444,6,3,4
900,75,0.0833333,60,0.0666667,15,0.0166667,1,0,4
900,64,0.0711111,51,0.0566667,13,0.0144444,2,2,6
900,77,0.0855556,70,0.0777778,7,0.00777778,9,1,4
900,76,0.0844444,65,0.0722222,11,0.0122222,9,3,6
900,94,0.104444,86,0.0955556,8,0.00888889,6,0,5
900,67,0.0744444,54,0.06,13,0.0144444,8,2,3
900,56,0.0622222,51,0.0566667,5,0.00555556,6,1,2
900,62,0.0688889,45,0.05,17,0.0188889,7,5,9
900,70,0.0777778,62,0.0688889,8,0.00888889,10,1,4
900,94,0.104444,86,0.0955556,8,0.00888889,5,0,2
900,79,0.0877778,67,0.0744444,12,0.0133333,9,2,4
900,45,0.05,26,0.0288889,19,0.0211111,0,3,11
900,49,0.0544444,33,0.0366667,16,0.0177778,4,1,5
900,71,0.0788889,52,0.0577778,19,0.0211111,6,4,10
900,58,0.0644444,51,0.0566667,7,0.00777778,1,1,2
900,72,0.08,58,0.0644444,14,0.0155556,3,3,4
900,66,0.0733333,58,0.0644444,8,0.00888889,6,1,4
900,95,0.105556,79,0.0877778,16,0.0177778,6,5,10
900,85,0.0944444,73,0.0811111,12,0.0133333,6,2,7
900,55,0.0611111,40,0.0444444,15,0.0166667,3,2,7
900,65,0.0722222,55,0.0611111,10,0.0111111,7,2,3
900,84,0.0933333,70,0.0777778,14,0.0155556,13,3,5
900,84,0.0933333,72,0.08,12,0.0133333,13,2,4
900,43,0.0477778,31,0.0344444,12,0.0133333,4,2,6
900,47,0.0522222,27,0.03,20,0.0222222,5,4,8
