Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created, False Positives
900,83,0.0922222,70,0.0777778,13,0.0144444,8,0,0
900,84,0.0933333,77,0.0855556,7,0.00777778,10,0,0
900,81,0.09,70,0.0777778,11,0.0122222,5,0,0
900,85,0.0944444,71,0.0788889,14,0.0155556,5,0,0
900,95,0.105556,87,0.0966667,8,0.00888889,3,0,0
900,73,0.0811111,63,0.07,10,0.0111111,6,0,0
900,76,0.0844444,63,0.07,13,0.0144444,4,0,0
900,72,0.08,61,0.0677778,11,0.0122222,7,0,0
900,72,0.08,60,0.0666667,12,0.0133333,5,0,0
900,80,0.0888889,70,0.0777778,10,0.0111111,5,0,0
900,85,0.0944444,68,0.0755556,17,0.0188889,8,0,0
900,86,0.0955556,69,0.0766667,17,0.0188889,8,0,0
900,91,0.101111,82,0.0911111,9,0.01,7,0,0
900,77,0.0855556,64,0.0711111,13,0.0144444,4,0,0
900,86,0.0955556,75,0.0833333,11,0.0122222,9,0,0
900,78,0.0866667,63,0.07,15,0.0166667,5,0,0
900,83,0.0922222,74,0.0822222,9,0.01,7,0,0
900,74,0.0822222,72,0.08,2,0.00222222,3,0,0
900,95,0.105556,86,0.0955556,9,0.01,10,0,0
900,71,0.0788889,54,0.06,17,0.0188889,4,0,0
900,91,0.101111,79,0.0877778,12,0.0133333,8,0,0
900,95,0.105556,82,0.0911111,13,0.0144444,5,0,0
900,63,0.07,54,0.06,9,0.01,7,0,0
900,91,0.101111,83,0.0922222,8,0.00888889,7,0,0
900,86,0.0955556,75,0.0833333,11,0.0122222,12,0,0
900,67,0.0744444,56,0.0622222,11,0.0122222,4,0,0
900,81,0.09,75,0.0833333,6,0.00666667,5,0,0
900,79,0.0877778,71,0.0788889,8,0.00888889,8,0,0
900,89,0.0988889,81,0.09,8,0.00888889,10,0,0
900,91,0.101111,84,0.0933333,7,0.00777778,10,0,0
900,99,0.11,85,0.0944444,14,0.0155556,10,0,0
900,87,0.0966667,80,0.0888889,7,0.00777778,6,0,0
900,86,0.0955556,80,0.0888889,6,0.00666667,8,0,0
900,86,0.0955556,76,0.0844444,10,0.0111111,14,0,0
900,86,0.0955556,76,0.0844444,10,0.0111111,6,0,0
900,99,0.11,89,0.0988889,10,0.0111111,1,0,0
900,81,0.09,64,0.0711111,17,0.0188889,3,0,0
900,96,0.106667,90,0.1,6,0.00666667,9,0,0
900,81,0.09,74,0.0822222,7,0.00777778,7,0,0
900,96,0.106667,87,0.0966667,9,0.01,7,0,0
900,92,0.102222,84,0.0933333,8,0.00888889,4,0,0
900,95,0.105556,84,0.0933333,11,0.0122222,8,0,0
900,87,0.0966667,77,0.0855556,10,0.0111111,4,0,0
900,86,0.0955556,74,0.0822222,12,0.0133333,9,0,0
900,81,0.09,77,0.0855556,4,0.00444444,11,0,0
900,68,0.0755556,62,0.0688889,6,0.00666667,8,0,0
900,83,0.0922222,78,0.0866667,5,0.00555556,9,0,0
900,86,0.0955556,78,0.0866667,8,0.00888889,5,0,0
900,74,0.0822222,70,0.0777778,4,0.00444444,8,0,0
900,76,0.0844444,61,0.0677778,15,0.0166667,6,0,0
900,98,0.108889,85,0.0944444,13,0.0144444,6,0,0
900,69,0.0766667,59,0.0655556,10,0.0111111,4,0,0
900,86,0.0955556,73,0.0811111,13,0.0144444,4,0,0
900,80,0.0888889,64,0.0711111,16,0.0177778,6,0,0
900,92,0.102222,84,0.0933333,8,0.00888889,7,0,0
900,89,0.0988889,77,0.0855556,12,0.0133333,5,0,0
900,70,0.0777778,61,0.0677778,9,0.01,4,0,0
900,88,0.0977778,76,0.0844444,12,0.0133333,7,0,0
900,82,0.0911111,77,0.0855556,5,0.00555556,12,0,0
900,87,0.0966667,79,0.0877778,8,0.00888889,7,0,0
