Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created, False Positives
900,66,0.0733333,53,0.0588889,13,0.0144444,4,2,4
900,81,0.09,70,0.0777778,11,0.0122222,12,1,4
900,86,0.0955556,58,0.0644444,28,0.0311111,3,8,18
900,75,0.0833333,65,0.0722222,10,0.0111111,10,0,5
900,60,0.0666667,46,0.0511111,14,0.0155556,8,2,7
900,76,0.0844444,45,0.05,31,0.0344444,6,8,13
900,87,0.0966667,80,0.0888889,7,0.00777778,11,0,0
900,70,0.0777778,52,0.0577778,18,0.02,6,3,9
900,93,0.103333,79,0.0877778,14,0.0155556,6,0,3
900,68,0.0755556,58,0.0644444,10,0.0111111,7,0,5
900,68,0.0755556,47,0.0522222,21,0.0233333,8,3,10
900,66,0.0733333,60,0.0666667,6,0.00666667,11,0,2
900,55,0.0611111,41,0.0455556,14,0.0155556,2,1,5
900,81,0.09,61,0.0677778,20,0.0222222,4,4,9
900,91,0.101111,83,0.0922222,8,0.00888889,10,1,4
900,82,0.0911111,69,0.0766667,13,0.0144444,7,1,5
900,77,0.0855556,67,0.0744444,10,0.0111111,3,0,5
900,72,0.08,62,0.0688889,10,0.0111111,2,0,2
900,76,0.0844444,56,0.0622222,20,0.0222222,5,5,7
900,71,0.0788889,62,0.0688889,9,0.01,2,2,4
900,71,0.0788889,53,0.0588889,18,0.02,5,5,11
900,80,0.0888889,72,0.08,8,0.00888889,9,0,4
900,78,0.0866667,58,0.0644444,20,0.0222222,9,3,9
900,96,0.106667,85,0.0944444,11,0.0122222,10,1,3
900,85,0.0944444,77,0.0855556,8,0.00888889,5,0,4
900,98,0.108889,86,0.0955556,12,0.0133333,8,0,5
900,67,0.0744444,53,0.0588889,14,0.0155556,6,2,5
900,86,0.0955556,78,0.0866667,8,0.00888889,6,0,1
900,87,0.0966667,77,0.0855556,10,0.0111111,5,3,5
900,72,0.08,56,0.0622222,16,0.0177778,5,6,7
900,68,0.0755556,47,0.0522222,21,0.0233333,3,8,11
900,76,0.0844444,62,0.0688889,14,0.0155556,6,6,8
900,76,0.0844444,59,0.0655556,17,0.0188889,6,2,10
900,63,0.07,55,0.0611111,8,0.00888889,2,0,6
900,81,0.09,65,0.0722222,16,0.0177778,6,1,1
900,89,0.0988889,72,0.08,17,0.0188889,9,4,10
900,43,0.0477778,28,0.0311111,15,0.0166667,4,2,7
900,73,0.0811111,57,0.0633333,16,0.0177778,4,3,7
900,79,0.0877778,59,0.0655556,20,0.0222222,7,5,11
900,67,0.0744444,54,0.06,13,0.0144444,3,3,5
900,108,0.12,102,0.113333,6,0.00666667,10,1,1
900,75,0.0833333,67,0.0744444,8,0.00888889,7,1,4
900,62,0.0688889,46,0.0511111,16,0.0177778,7,2,5
900,54,0.06,38,0.0422222,16,0.0177778,3,4,9
900,55,0.0611111,44,0.0488889,11,0.0122222,3,1,5
900,78,0.0866667,60,0.0666667,18,0.02,14,3,7
900,62,0.0688889,39,0.0433333,23,0.0255556,2,3,12
900,93,0.103333,80,0.0888889,13,0.0144444,4,3,7
900,90,0.1,79,0.0877778,11,0.0122222,14,0,6
900,65,0.0722222,51,0.0566667,14,0.0155556,3,2,4
900,85,0.0944444,79,0.0877778,6,0.00666667,9,0,4
900,61,0.0677778,48,0.0533333,13,0.0144444,5,1,2
900,70,0.0777778,59,0.0655556,11,0.0122222,2,1,3
900,48,0.0533333,42,0.0466667,6,0.00666667,3,1,3
900,73,0.0811111,59,0.0655556,14,0.0155556,7,4,9
900,84,0.0933333,74,0.0822222,10,0.0111111,11,1,2
900,92,0.102222,74,0.0822222,18,0.02,7,2,6
900,96,0.106667,79,0.0877778,17,0.0188889,8,2,6
900,66,0.0733333,57,0.0633333,9,0.01,9,1,4
900,102,0.113333,97,0.107778,5,0.00555556,7,0,2
