Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created, False Positives
900,57,0.0633333,37,0.0411111,20,0.0222222,4,9,15
900,89,0.0988889,60,0.0666667,29,0.0322222,9,11,24
900,85,0.0944444,51,0.0566667,34,0.0377778,7,9,24
900,92,0.102222,58,0.0644444,34,0.0377778,7,13,29
900,57,0.0633333,44,0.0488889,13,0.0144444,5,2,10
900,90,0.1,57,0.0633333,33,0.0366667,6,9,29
900,77,0.0855556,50,0.0555556,27,0.03,5,9,23
900,83,0.0922222,72,0.08,11,0.0122222,9,4,9
900,86,0.0955556,56,0.0622222,30,0.0333333,10,9,25
900,42,0.0466667,30,0.0333333,12,0.0133333,3,6,9
900,69,0.0766667,43,0.0477778,26,0.0288889,9,10,23
900,49,0.0544444,22,0.0244444,27,0.03,1,11,24
900,81,0.09,49,0.0544444,32,0.0355556,3,14,30
900,70,0.0777778,46,0.0511111,24,0.0266667,5,9,21
900,83,0.0922222,60,0.0666667,23,0.0255556,7,13,17
900,83,0.0922222,55,0.0611111,28,0.0311111,7,5,22
900,71,0.0788889,56,0.0622222,15,0.0166667,3,4,13
900,74,0.0822222,62,0.0688889,12,0.0133333,7,4,8
900,72,0.08,66,0.0733333,6,0.00666667,9,2,5
900,68,0.0755556,57,0.0633333,11,0.0122222,7,4,7
900,91,0.101111,67,0.0744444,24,0.0266667,8,8,18
900,83,0.0922222,53,0.0588889,30,0.0333333,5,9,26
900,81,0.09,46,0.0511111,35,0.0388889,7,9,31
900,88,0.0977778,83,0.0922222,5,0.00555556,6,0,3
900,63,0.07,48,0.0533333,15,0.0166667,7,6,10
900,90,0.1,78,0.0866667,12,0.0133333,7,0,4
900,94,0.104444,70,0.0777778,24,0.0266667,3,10,21
900,79,0.0877778,57,0.0633333,22,0.0244444,7,10,19
900,84,0.0933333,66,0.0733333,18,0.02,8,5,16
900,96,0.106667,63,0.07,33,0.0366667,3,8,29
900,73,0.0811111,56,0.0622222,17,0.0188889,4,9,15
900,81,0.09,60,0.0666667,21,0.0233333,9,6,17
900,48,0.0533333,25,0.0277778,23,0.0255556,5,6,19
900,74,0.0822222,55,0.0611111,19,0.0211111,10,3,15
900,90,0.1,54,0.06,36,0.04,4,11,28
900,84,0.0933333,66,0.0733333,18,0.02,8,5,14
900,75,0.0833333,60,0.0666667,15,0.0166667,10,2,10
900,93,0.103333,69,0.0766667,24,0.0266667,4,7,21
900,95,0.105556,57,0.0633333,38,0.0422222,6,17,35
900,83,0.0922222,61,0.0677778,22,0.0244444,8,9,16
900,103,0.114444,84,0.0933333,19,0.0211111,9,10,14
900,44,0.0488889,22,0.0244444,22,0.0244444,4,8,18
900,89,0.0988889,63,0.07,26,0.0288889,9,10,21
900,51,0.0566667,42,0.0466667,9,0.01,3,1,7
900,84,0.0933333,35,0.0388889,49,0.0544444,6,21,47
900,77,0.0855556,54,0.06,23,0.0255556,6,14,21
900,84,0.0933333,77,0.0855556,7,0.00777778,6,1,5
900,78,0.0866667,71,0.0788889,7,0.00777778,7,2,5
900,70,0.0777778,50,0.0555556,20,0.0222222,5,2,12
900,82,0.0911111,52,0.0577778,30,0.0333333,5,12,26
900,89,0.0988889,64,0.0711111,25,0.0277778,7,10,24
900,83,0.0922222,59,0.0655556,24,0.0266667,11,14,20
900,68,0.0755556,45,0.05,23,0.0255556,6,5,20
900,82,0.0911111,67,0.0744444,15,0.0166667,6,2,14
900,114,0.126667,61,0.0677778,53,0.0588889,9,23,49
900,73,0.0811111,67,0.0744444,6,0.00666667,6,0,4
900,80,0.0888889,69,0.0766667,11,0.0122222,11,0,7
900,89,0.0988889,58,0.0644444,31,0.0344444,3,7,27
900,91,0.101111,53,0.0588889,38,0.0422222,5,15,33
900,93,0.103333,85,0.0944444,8,0.00888889,11,2,7
