Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created, False Positives
900,68,0.0755556,55,0.0611111,13,0.0144444,5,3,7
900,85,0.0944444,75,0.0833333,10,0.0111111,9,1,4
900,84,0.0933333,74,0.0822222,10,0.0111111,11,0,3
900,61,0.0677778,52,0.0577778,9,0.01,0,1,3
900,67,0.0744444,59,0.0655556,8,0.00888889,9,1,4
900,89,0.0988889,82,0.0911111,7,0.00777778,14,1,3
900,73,0.0811111,61,0.0677778,12,0.0133333,8,3,8
900,64,0.0711111,48,0.0533333,16,0.0177778,4,4,11
900,64,0.0711111,43,0.0477778,21,0.0233333,5,3,10
900,81,0.09,76,0.0844444,5,0.00555556,8,0,1
900,92,0.102222,77,0.0855556,15,0.0166667,12,4,9
900,87,0.0966667,78,0.0866667,9,0.01,12,0,3
900,62,0.0688889,46,0.0511111,16,0.0177778,6,6,8
900,61,0.0677778,53,0.0588889,8,0.00888889,4,1,6
900,89,0.0988889,79,0.0877778,10,0.0111111,7,4,8
900,92,0.102222,67,0.0744444,25,0.0277778,6,4,16
900,86,0.0955556,78,0.0866667,8,0.00888889,7,0,5
900,97,0.107778,82,0.0911111,15,0.0166667,3,5,11
900,57,0.0633333,44,0.0488889,13,0.0144444,5,2,5
900,57,0.0633333,41,0.0455556,16,0.0177778,1,3,10
900,96,0.106667,84,0.0933333,12,0.0133333,4,1,5
900,85,0.0944444,81,0.09,4,0.00444444,7,0,3
900,82,0.0911111,59,0.0655556,23,0.0255556,11,8,14
900,57,0.0633333,32,0.0355556,25,0.0277778,0,7,13
900,74,0.0822222,43,0.0477778,31,0.0344444,10,10,21
900,89,0.0988889,72,0.08,17,0.0188889,4,5,12
900,90,0.1,69,0.0766667,21,0.0233333,6,2,15
900,73,0.0811111,61,0.0677778,12,0.0133333,6,1,3
900,60,0.0666667,38,0.0422222,22,0.0244444,6,6,12
900,98,0.108889,87,0.0966667,11,0.0122222,6,2,7
900,59,0.0655556,35,0.0388889,24,0.0266667,1,4,10
900,60,0.0666667,45,0.05,15,0.0166667,3,4,6
900,93,0.103333,77,0.0855556,16,0.0177778,5,5,12
900,73,0.0811111,50,0.0555556,23,0.0255556,8,6,13
900,79,0.0877778,67,0.0744444,12,0.0133333,12,1,6
900,78,0.0866667,56,0.0622222,22,0.0244444,11,7,15
900,85,0.0944444,72,0.08,13,0.0144444,8,5,8
900,86,0.0955556,71,0.0788889,15,0.0166667,4,4,10
900,61,0.0677778,50,0.0555556,11,0.0122222,2,2,5
900,84,0.0933333,73,0.0811111,11,0.0122222,9,0,7
900,34,0.0377778,20,0.0222222,14,0.0155556,2,2,4
900,89,0.0988889,73,0.0811111,16,0.0177778,7,3,9
900,56,0.0622222,42,0.0466667,14,0.0155556,3,3,6
900,75,0.0833333,51,0.0566667,24,0.0266667,1,8,15
900,41,0.0455556,25,0.0277778,16,0.0177778,3,3,8
900,68,0.0755556,52,0.0577778,16,0.0177778,8,7,10
900,69,0.0766667,60,0.0666667,9,0.01,5,1,4
900,90,0.1,64,0.0711111,26,0.0288889,4,9,15
900,67,0.0744444,57,0.0633333,10,0.0111111,6,3,5
900,89,0.0988889,79,0.0877778,10,0.0111111,7,0,3
900,85,0.0944444,71,0.0788889,14,0.0155556,7,1,6
900,93,0.103333,72,0.08,21,0.0233333,9,7,13
900,72,0.08,50,0.0555556,22,0.0244444,6,4,10
900,71,0.0788889,60,0.0666667,11,0.0122222,7,1,3
900,73,0.0811111,57,0.0633333,16,0.0177778,3,4,8
900,58,0.0644444,44,0.0488889,14,0.0155556,9,3,8
900,60,0.0666667,50,0.0555556,10,0.0111111,7,3,6
900,66,0.0733333,51,0.0566667,15,0.0166667,1,4,10
900,59,0.0655556,45,0.05,14,0.0155556,4,2,9
900,39,0.0433333,29,0.0322222,10,0.0111111,2,3,5
