Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created, False Positives
900,68,0.0755556,57,0.0633333,11,0.0122222,5,3,5
900,61,0.0677778,36,0.04,25,0.0277778,2,13,19
900,67,0.0744444,48,0.0533333,19,0.0211111,9,5,10
900,83,0.0922222,74,0.0822222,9,0.01,8,1,6
900,81,0.09,61,0.0677778,20,0.0222222,8,4,10
900,68,0.0755556,55,0.0611111,13,0.0144444,11,2,8
900,97,0.107778,90,0.1,7,0.00777778,7,0,5
900,100,0.111111,93,0.103333,7,0.00777778,12,1,5
900,99,0.11,82,0.0911111,17,0.0188889,9,6,12
900,89,0.0988889,77,0.0855556,12,0.0133333,6,3,8
900,100,0.111111,78,0.0866667,22,0.0244444,12,8,15
900,77,0.0855556,60,0.0666667,17,0.0188889,10,4,7
900,73,0.0811111,54,0.06,19,0.0211111,7,3,9
900,56,0.0622222,37,0.0411111,19,0.0211111,2,2,8
900,74,0.0822222,52,0.0577778,22,0.0244444,4,4,14
900,85,0.0944444,80,0.0888889,5,0.00555556,9,1,2
900,73,0.0811111,53,0.0588889,20,0.0222222,8,7,14
900,71,0.0788889,49,0.0544444,22,0.0244444,5,10,16
900,68,0.0755556,60,0.0666667,8,0.00888889,4,1,4
900,71,0.0788889,63,0.07,8,0.00888889,4,1,2
900,98,0.108889,71,0.0788889,27,0.03,8,6,19
900,90,0.1,76,0.0844444,14,0.0155556,11,2,6
900,84,0.0933333,67,0.0744444,17,0.0188889,8,5,11
900,89,0.0988889,63,0.07,26,0.0288889,6,9,18
900,83,0.0922222,75,0.0833333,8,0.00888889,5,2,6
900,86,0.0955556,73,0.0811111,13,0.0144444,11,3,10
900,74,0.0822222,41,0.0455556,33,0.0366667,3,12,21
900,80,0.0888889,71,0.0788889,9,0.01,8,0,3
900,82,0.0911111,53,0.0588889,29,0.0322222,8,7,16
900,83,0.0922222,62,0.0688889,21,0.0233333,7,4,9
900,64,0.0711111,44,0.0488889,20,0.0222222,7,5,11
900,105,0.116667,66,0.0733333,39,0.0433333,4,16,30
900,74,0.0822222,60,0.0666667,14,0.0155556,6,0,6
900,79,0.0877778,58,0.0644444,21,0.0233333,8,6,15
900,81,0.09,71,0.0788889,10,0.0111111,9,1,6
900,84,0.0933333,63,0.07,21,0.0233333,3,5,9
900,73,0.0811111,34,0.0377778,39,0.0433333,1,10,23
900,69,0.0766667,38,0.0422222,31,0.0344444,3,9,19
900,80,0.0888889,68,0.0755556,12,0.0133333,8,3,6
900,82,0.0911111,68,0.0755556,14,0.0155556,3,2,8
900,83,0.0922222,57,0.0633333,26,0.0288889,9,11,21
900,74,0.0822222,63,0.07,11,0.0122222,4,0,9
900,100,0.111111,86,0.0955556,14,0.0155556,11,4,9
900,62,0.0688889,35,0.0388889,27,0.03,1,5,16
900,59,0.0655556,40,0.0444444,19,0.0211111,7,4,10
900,93,0.103333,65,0.0722222,28,0.0311111,13,11,20
900,84,0.0933333,62,0.0688889,22,0.0244444,3,7,16
900,68,0.0755556,46,0.0511111,22,0.0244444,5,5,14
900,91,0.101111,75,0.0833333,16,0.0177778,11,1,8
900,75,0.0833333,53,0.0588889,22,0.0244444,10,10,16
900,73,0.0811111,51,0.0566667,22,0.0244444,6,6,13
900,80,0.0888889,71,0.0788889,9,0.01,6,0,5
900,71,0.0788889,65,0.0722222,6,0.00666667,6,0,1
900,65,0.0722222,48,0.0533333,17,0.0188889,1,3,8
900,73,0.0811111,61,0.0677778,12,0.0133333,1,2,5
900,90,0.1,73,0.0811111,17,0.0188889,10,4,12
900,70,0.0777778,55,0.0611111,15,0.0166667,9,2,11
900,86,0.0955556,73,0.0811111,13,0.0144444,4,2,4
900,91,0.101111,84,0.0933333,7,0.00777778,5,2,4
900,60,0.0666667,35,0.0388889,25,0.0277778,3,8,13
