Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created, False Positives
900,84,0.0933333,63,0.07,21,0.0233333,8,6,16
900,96,0.106667,76,0.0844444,20,0.0222222,9,6,14
900,77,0.0855556,77,0.0855556,0,0,10,0,0
900,72,0.08,53,0.0588889,19,0.0211111,3,6,14
900,101,0.112222,67,0.0744444,34,0.0377778,6,7,24
900,98,0.108889,83,0.0922222,15,0.0166667,5,5,11
900,70,0.0777778,45,0.05,25,0.0277778,7,4,18
900,63,0.07,46,0.0511111,17,0.0188889,4,7,9
900,64,0.0711111,41,0.0455556,23,0.0255556,6,4,13
900,68,0.0755556,47,0.0522222,21,0.0233333,11,2,14
900,87,0.0966667,78,0.0866667,9,0.01,7,1,5
900,58,0.0644444,31,0.0344444,27,0.03,3,4,17
900,84,0.0933333,76,0.0844444,8,0.00888889,5,1,4
900,86,0.0955556,71,0.0788889,15,0.0166667,7,0,11
900,88,0.0977778,62,0.0688889,26,0.0288889,5,10,19
900,72,0.08,39,0.0433333,33,0.0366667,6,7,26
900,69,0.0766667,50,0.0555556,19,0.0211111,8,3,16
900,67,0.0744444,39,0.0433333,28,0.0311111,3,10,22
900,82,0.0911111,67,0.0744444,15,0.0166667,13,5,8
900,103,0.114444,89,0.0988889,14,0.0155556,10,4,11
900,96,0.106667,67,0.0744444,29,0.0322222,4,8,25
900,63,0.07,48,0.0533333,15,0.0166667,2,4,10
900,89,0.0988889,81,0.09,8,0.00888889,7,1,3
900,93,0.103333,67,0.0744444,26,0.0288889,7,5,21
900,81,0.09,76,0.0844444,5,0.00555556,4,0,2
900,79,0.0877778,56,0.0622222,23,0.0255556,11,7,17
900,69,0.0766667,40,0.0444444,29,0.0322222,3,4,21
900,99,0.11,84,0.0933333,15,0.0166667,10,4,9
900,69,0.0766667,50,0.0555556,19,0.0211111,10,6,15
900,69,0.0766667,51,0.0566667,18,0.02,4,6,14
900,79,0.0877778,50,0.0555556,29,0.0322222,6,8,20
900,73,0.0811111,50,0.0555556,23,0.0255556,6,8,18
900,58,0.0644444,49,0.0544444,9,0.01,5,1,6
900,94,0.104444,53,0.0588889,41,0.0455556,4,13,30
900,49,0.0544444,33,0.0366667,16,0.0177778,2,4,9
900,82,0.0911111,70,0.0777778,12,0.0133333,8,4,7
900,85,0.0944444,68,0.0755556,17,0.0188889,11,6,14
900,83,0.0922222,67,0.0744444,16,0.0177778,4,4,9
900,82,0.0911111,71,0.0788889,11,0.0122222,10,0,7
900,86,0.0955556,78,0.0866667,8,0.00888889,5,0,7
900,77,0.0855556,47,0.0522222,30,0.0333333,6,10,20
900,89,0.0988889,60,0.0666667,29,0.0322222,7,11,22
900,80,0.0888889,70,0.0777778,10,0.0111111,7,1,8
900,78,0.0866667,65,0.0722222,13,0.0144444,7,3,7
900,40,0.0444444,21,0.0233333,19,0.0211111,1,5,11
900,49,0.0544444,31,0.0344444,18,0.02,4,9,14
900,87,0.0966667,51,0.0566667,36,0.04,6,15,27
900,96,0.106667,87,0.0966667,9,0.01,6,0,5
900,92,0.102222,72,0.08,20,0.0222222,8,5,13
900,80,0.0888889,56,0.0622222,24,0.0266667,6,8,16
900,71,0.0788889,44,0.0488889,27,0.03,2,6,20
900,84,0.0933333,75,0.0833333,9,0.01,8,4,5
900,70,0.0777778,54,0.06,16,0.0177778,7,4,11
900,91,0.101111,73,0.0811111,18,0.02,3,4,12
900,73,0.0811111,58,0.0644444,15,0.0166667,4,3,8
900,84,0.0933333,53,0.0588889,31,0.0344444,7,11,25
900,80,0.0888889,62,0.0688889,18,0.02,4,5,12
900,79,0.0877778,68,0.0755556,11,0.0122222,8,4,7
900,79,0.0877778,60,0.0666667,19,0.0211111,6,6,13
900,82,0.0911111,76,0.0844444,6,0.00666667,7,0,5
